"Deep Learning,Convolution Neural Networks,Object Detection Networks,MLP,Digital Image Processing,PCBA Inspection,AOI","The automatic inspection of Printed Circuit Board Assembly (PCBA) is one of the most important issues in industry. Many AOI companies in Taiwan, such as Machvision, TRI, Utechzone, etc., have developed many AOI systems to help facilitating the PCBA process. Currently, due to the low defect detection rate, the PCBA process heavily depends on human inspectors such that the factory automation cannot be achieved. Recently, deep learning networks have been prosperously studied and produce reliable classification and detection results. Therefore, this study applies deep learning neural networks, including Object Detection Networks (ODN), convolution neural networks (CNN), and digital image process (DIP) to robustly segment the PCBA components, Dual In-line Package (DIP) and Surface Mount Device (SMD), from the PCB and expect to reduce the overkilled and under-killed rates. In this project, the case study company is one of the largest electronic manufacturer in Taiwan. A three-year project is proposed to integrate 2D/3D digital image process and deep learning networks to solve the ineffectiveness problem of current AOI PCBA inspection process. For the first year, instead of extracting ROI (region of interest) information through Gerber file, we had tried a color MLP to segment the SMD components but with unsatisfied result, and then a CNN model was built to distinguish good components from defectiveness with manual image segmentation, and meanwhile the hardware of 3D profile builder has been also constructed . In the second year, we will replace the color MLP with an Object Detection Networks (Yolo and FRCNN), which will extract the ROI's of SMD components with bounding boxes, and then build up DIP algorithm to inspect defectiveness simultaneously. Finally, in the third year, the self-built 3D profiler and the Gocator 3D sensor will be used to obtain the 3D information of SMD for comparison, and then a 3D-CNN model will be built to detect the defective components in a PCBA process."
"Deep Learning, Machine Learning, Reinforcement Learning, Robotic Manipulation.","This three-year project will work on the design, development, and implementation of a deep learning based system for controlling a robotic manipulator with visual feedback. The robot controller learns autonomy by a series of pixel-based images and without any prior knowledge of the working environment. We build the work based on the success of our recent deep reinforcement learning and develop a robot manipulation system for learning simple tasks with a multi-joint robot manipulator using external visual observation. In the first year, a tailored Deep Q Network (DQN) architecture will be proposed to perform the simple target reaching task after training in simulation and transferring to a real manipulator. As well, in the second year, in addition to a tailored DQN will evolve to accommodate the basic skill of obstacle avoidance, a newly proposed capsule network will replace the function of the convolution neural network as a feature extractor in DQN, which is vulnerable to variations in translations and rotations of images. It is noted that not just only does the avoidance occur on the end effector but also on the serial links (the body itself). The main task in the third year is aimed at expanding the capability and capacity of the proposed DQN to integrate the functionality of learned heterogeneous skill derived from different working configurations. These basic behaviors are the common problem in robot motion control and operation. All of these tasks proposed in this project make it possible to enhance the deep learning implemented in robotics for the industries and are indispensable techniques in the smart manufacturing of prompted Industry 4.0."
"Deep recommendation model, matrix factorization, latent factors, deep learning, autoencoder, recommender systems","This project plans to leverage on the deep learning technology to build a multi-objective recommendation model, which relaxes the constraints of the matrix factorization-based recom- mendation models. The matrix factorization-based recommendation models at least have the following problems.

1. MF-based models assume that the weight of each latent factor is the same, which may not always be a reasonable assumption.

2. MF-based models assume that each latent factor is independent of other factors, which may not always be a reasonable assumption.

3. MF-based models require the number of latent factors of a user equaling the number of latent factors of an item. However, this may not be a good encoding mechanism.

4. We probably over-simplify the interaction between a user and an item if only applying the inner-product operation. Particularly, we should consider higher-order interactions, such as the kernel method or the deep learning related operations.

This research attempts to design the recommendation model based on the deep learning architecture to relax these restrictions. For the first issue, we have already developed a prototype such that each latent factor has distinct weight. Initial experimental results show that the new method performs better than the other MF-based approaches on the test dataset in terms of the root-mean-squared-error (RMSE).

In addition to recommender systems, MF-based approaches can be applied to a wide range of applications, such as link prediction, imputation of the missing values, image compression, etc. This study may relax the constraints of the traditional MF-based approaches, so the results can also be applied to the above domains. Since the new techniques are more general than the MF-based approaches, we may get better results on the above applications."
"Deep reinforcement learning, Deep learning, Feature matching, Feature descriptor, Feature detector","In the field of computer vision, there are many tasks need the technique of feature matching such as image retrieval, object recognition, localization, image stitching and stereo matching. To achieve the target mentioned above, the motivation of feature matching is to compare the two input images with their corresponding features in order to check if there exist any similarity between this image pair. It can be separated into two main procedures to accomplish the calculation of feature matching in current research method. The first one is feature detection. Since the final target is to match the given image pair, it is necessary to find every feature in the corresponding image, and these features must be irreplaceable, i.e the detected features must be representative for that input image. Second step is feature description. It aims to make the machine have the ability to transfer the given image into a description vector, which is also known as a descriptor. In this project, we will utilize the learning framework of deep reinforcement learning to design a feature detector which can automatically decide the amount feature numbers and use the concept of deep learning to design a feature descriptor which can deal with the easy-positive samples and hard-positive samples at the same time. Furthermore, we will combine the feature detector and descriptor into an end-to-end training to boost the overall matching performance. The novelty of this project is very high no matter it is in the design of detector or descriptor since there are no prior research aim to take the above method."
"haptics, deep learning, scene recognition, immersive virtual environment","In this project, we design a 4D-VR cinema combined with the experience of haptic feedback. While users are watching VR movie, they not only receive the visual and auditory feedbacks from their first-person perspective, but also feel the haptic experiences according to different movie scenes. The 4D VR-cinema contains a scene recognition system and a set of haptic devices named as Haptic Simulator. In scene recognition system, we hierarchical deep learning methods to construct an object detector which can sense and locate specific objects (e.g. fire, light, umbrella and snow) in a movie scene. According to these detected objects, the scene recognition system then classifies the movie scenes into four major categories, which are glare, scorch, gale and cold. In addition, we also design a haptic device namely as Haptic Simulator to control the corresponding haptic modules to simulate immersive environments with haptics which are based on the movie scene for VR-movie viewers."
"Deep learning, fast algorithms, reinforcement learning, meta-learning, online display advertisement, real-time bidding","In this project, we hope to study deep learning algorithms and design related algorithms for the following three goals: to accelerate the current deep learning training process by combining the input data compression techniques and simplify the training network structure while maintaining an acceptable training quality, to study how deep learning algorithms can be applied to do model-free meta-reinforcement learning, and to apply deep learning models on predicting the winning prices for real-time bidding of online display advertisement."
"Elderly care, deep learning, low-resourced speech recognition, multilingual code-switching speech recognition, empathetic response","With the advances in information technology, how to let the elderly live in their own home with dignity is one of the most important fields of the technology for health care in recent years. This project proposes a research plan to study the technology on speech and language processing, deep learning, and artificial intelligence for a multiparty interactive dialogue system with empathetic response in three years. The research topic of the project is the combination of the four research topics: speaker identification, low-resourced and multilingual code switching speech recognition, multi-party dialog state tracking and dialog action selection mechanisms, and empathetic response generation. For low-resourced and multilingual code switching speech recognition, this project will focus on Taiwanese and Mandarin speech recognition.
	In speaker identification part, this project intends to use deep learning method to build an audio-visual speaker identification system which focus on text-independent speaker identification tasks. In low-resourced and multilingual code-switching speech recognition part, this project not only enriches Taiwanese speech  and text corpus, but also integrates speaker identification and transfer learning techniques. In dialog state tracking and dialog action selection mechanism part, the project plans to establish a robust dialog state tracker, dialog action selection and addressee selection model. This project will analyze the user semantic and use the results to select a dialog action and the addressees. In the research of empathetic response generation part, the project intends to generate an empathetic response that lets the user know that we are sharing the same emotional experience.
	Finally, the project will integrate research results in the first two years and use these results to build a multiparty dialogue system with empathetic response. The dialog system can interact with the elderly by using mobile phone or robot as the interactive platform. And the interactive platform consists of the following functions: interactive warm companionship, emotional empathy, friend links, and other warm functions."
"Recommendation System, Latent Topic Model, Matrix Factorization, Aspect Analysis, Deep Learning, Convolutional Neural Network, Generative Adversarial Network","The booming of Internet has increasingly promoted the rise of new types of online information and e-commerce platforms. It is an important application and development trend to attract more users and increase the traffic of the information platform through a personalized recommendation system. Personalized article and cold start recommendations are important applications and issues for emerging online information platforms. Deep learning recommendation systems and Generative Adversarial Network (GAN) for optimizing model learning are popular research issues. GAN recommendation is a new research topic, and there are very few literatures. In the first year, this project will investigate a new article recommendation approach combining aspect-based latent feature extraction and deep learning model. The proposed approach uses latent topic model – LDA (Latent Dirichlet Allocation) and convolutional neural network (CNN) to extract aspect-based latent features, and learns the aspect preference weights of different users through the attention network layer. The existing literatures do not use LDA aspect analysis combined with CNN for latent feature extraction. There is also no deep learning recommendation approach with aspect attention mechanism. The developed approach will improve the traditional aspect analysis and deep learning recommendations. In the second year, this project will investigate a new hybrid recommendation method based on Generative Adversarial Network (GAN), focusing on solving cold start recommendation issues. Existing researches on GAN recommendations adopt matrix factorization as the core preference prediction model. There are still some shortcomings for the cold start recommendation. This project will develop new GAN-based core preference prediction models, which combine the advantages of content-based LDA recommendation and CNN feature extraction, enhanced with deep learning attention mechanism to improve the effectiveness of preference prediction. There is no GAN recommendation literature focusing on the issues of recommending cold start and new articles. The proposed approaches will strengthen the learning of latent features of cold start items and user preferences through GAN's competitive learning framework and sampling mechanism, and further improve GAN's effectiveness on recommending cold start articles."
"patent analysis, cross-lingual topic model, deep learning recommender, cross-regional patent map","With the rapid growth of the economy and business globalization in recent decades, managing an increasing volume of patent documents written in different languages has become inevitably important from both legal and managerial perspectives. Thus, to analyze in different regions and diverse writing styles and languages of patent documents is very time-consuming and often requires huge human efforts for cross-language patent translation and cross-regional analysis. However, the most existing patent cross-language applications just adopt machine learning for the monolingual dataset and use machine translation techniques or bilingual dictionary for translating the query into another language, thereby limiting the accuracy of cross-language patent search and information retrieval. In this research, we propose this three-year research plan to solve those major issues. The first year of this research plan is to collect patent databases from three different regions, including the United States, Taiwan, and China. Thus, we develop the cross-regional patent comparison and analytics system based on cross-lingual patent topic model among English and Chinese. In the second year, we extract cross-lingual word embedding features for constructing cross-regional patent collaborative deep learning recommender. For the last phase, we conduct the comprehensive cross-regional patent analysis for providing more insights into the global technology trend to enable the R&D, industries, or policymakers to forecast future technologies and identifying worldwide potential competitors or collaborators."
"clothing brand and price information retrieval, feature extraction, classification, deep learning, clothing collocation subjective test","Over the past decade or so, the behavior of human consumption has changed significantly with the popularization of the Internet and smart mobile devices. Online shopping has become a popular mode of consumption for the public. Clothes make up a large part of the consumer's online shopping market. Customers often need to use the multiple search process when shopping online. So, a simple and effective clothing search recommendation system is worth to study. Designing an image-based way to search clothes on Internet store – see, snap, search, purchase, is practical and convenient, and therefore is the goal of this research project. Currently, there is no specific research focused on the design of the clothing brand and price information retrieval system. We will design a clothing retrieval system that can predict brand and price. Also, since there is no clothing dataset containing brand and price attributes, we will need to construct a clothing dataset with brand and price information. With this newly collected clothing dataset, we can design a new deep learning based model to retrieve clothing brand and price information with high accuracy. We will also deal with clothing collocation problem by first constructing a clothing collocation subjective test dataset. Then, we use this dataset to learn a deep learning based model to predict the clothing collocation scores, and the clothing collocation model having higher Pearson linear correlation coefficient (PLCC) with subjective opinion will be used to recommend customers the clothing item. Finally, we hope that the research results and technology transfer of this project will be used by domestic and foreign industries. I also hope that the research results in this respect can be published in famous conferences or journals to increase Taiwan's international visibility."
"Mobil Urban Probe, IoT, Cloud Information System, Deep Learning, GIS Visualization, 3D Interface, Urban Thermal Environment","For the mitigation of UHI effect, most researches concentrated near-surface layer, which limited the comprehension of urban thermal environment. This study would include the vertical thermal structure of urban climate such as, urban canopy and Urban boundary layer.
Based on integrated data application by drones, IoT, crowd sensing and cloud data base, this study would survey the thermal environmental data in horizontal and vertical interspace of urban areas, in order to construct 3D cloud data base of urban thermal environments.
In the 1st year, sensor instruments, field survey and their cloud data base would be executed, and the deep learning of the data would be explored. In the 2nd year, application of deep learning models and parameters visualization and 3D cloud data base of urban thermal environments would set up for the phenomenon prognosis and interactive application. The results could be implemented for corrected urban planning, environmental management and building code regulation."
"Machine Learning, Deep Learning, Neural Networks, Low-Power System, Multi-Processor Silicon-on-Chip, Reconfigurable Heterogeneous Systems","In this proposal, we will comprehensively tackle the various problems involved in designing and evaluating a compute node for large-scale machine learning and deep learning applications.  The aim of this project is to investigate reconfigurable MPSoC systems to accelerate the computation time of the above-mentioned applications, and develop the necessary simulation and modeling infrastructure for reconfigurable MPSoCs.  We propose to build an infrastructure that allows rapid power-performance trade-offs of the entire multi-die MPSoC system during early design stages.  Using this infrastructure, we intend to explore various combinations of dynamic power management (DPM) techniques for both fine-grain and coarse-grain MPSoCs, by varying both the processor and network microarchitecture in a parameterized fashion.  The other goal of this project is to investigate techniques from the circuit-level to the architectural-level to reduce the power consumption of systems that have CNNs executed on it.  

The first part of this project is to develop fast and power efficient CNN techniques for GPU-based systems, and then explore techniques to integrate multiple CPUs and GPUs synergically to become a heterogeneous SoC system.  Multi-core processors and heterogeneous computing are two possible ways to boost up the performance of the existing compute nodes.  In such heterogeneous systems, processor cores provide generality over a wide range of applications, while specialized accelerators provide better power efficiency and performance for specific computation requirements.  In the first phase, we propose to develop a fast and power efficient CNN networks specific for heterogeneous system deployment, and investigate low power GPU techniques for CNNs at the framework level.  We plan to develop new architectures for such a heterogeneous system, and deploy the proposed fast and power efficient CNN network to measure its performance.  Potential low power techniques include accuracy reduction, workload balancing, task pipelining, dynamic voltage and frequency scaling, memory prefetching, computation sharing, etc.  

In the second phase of the sub-project, we plan to develop a modeling framework for reconfigurable on-chip networks for MPSoC systems with consideration of the multi-die InFo technology.  A state-of-the-art MPSoC is typically composed of multiple heterogeneous components, including CPUs, GPUs, ASICs, and even FPGAs.  These components are traditionally interconnected with a network fabric and a large amount of on-chip caches on a single die.  These heterogeneous components enable an MPSoC system to speed up critical sections of the application and improve power efficiency.  To extend the network fabric to connect multi-dies and provide run-time configurability, an EDA platform is required for modeling the timing, power, and performance of such a system.

In the third phase of the sub-project, we plan to develop DPM techniques for MPSoCs for machine learning applications.  Although DPM techniques have been presented for various on-chip components, DPM techniques that can synergistically tackle all the components of an on-chip system are needed.  These techniques need to consider the interplay between power and thermal contributions of individual components to balance the overall chip thermal profile, while keeping the adverse performance impact to a minimum.  We will investigate various combinations of DPM techniques for MPSoCs."
"Heterogeneous Network, Deep learning, B5G Mobile Communication, Fog Computing, Cloud Computing, Cloud Radio Access Networks, Fog Radio Access Networks.","The 3G and 4G mobile communications had been developed for many years. The 5G mobile communication is scheduled to be launched in 2020. In the future, network environment will exist a great diversity of different cells and communication technologies that forms a special architecture of Heterogeneous Networks (HetNet). Under the complex network architecture, interference and handover problems are critical challenges in access network. How to efficiently manage the different small cells and access technologies for the better quality of service is a vital research issue. In order to achieve these goals, the integrated research project expects that our proposed Deep Learning-based B5G Mobile Network is able to enhance and improve communication performance through combing some specific technologies, e.g., deep learning, fog computing, cloud computing, cloud radio access network (C-RAN) and fog radio access network (F-RAN). The main project will develop a B5G mobile network platform and the sub-project 1 will construct the platform as a Deep Learning-based B5G Mobile Network Platform. In the first year, our main goal is to build a base station in a novel access network based on C-RAN and F-RAN architectures, and connect the deep learning platform with it. The computational efficiency of the deep learning platform will be enhanced by using cloud and fog computing technologies. The main project will adopt deep learning methods to enhance 10% network transmission efficiency. The sub-project 1 will investigate data preprocessing methods to achieve 95% data accuracy. In the second year, the main goal is that the deep learning-based B5G mobile networks platform will be extended to heterogeneous architecture. The main project implements the extended base station by using power amplifier and low noise amplifier, and investigates scheduling problem in control channel of base band unit (BBU) to increase 10% number of users. The sub-project 1 aims to connect the deep learning platform with the heterogeneous B5G mobile network platform on a large-scale, and investigates network optimization problem based on deep learning algorithms. Deep learning computational efficiency and accuracy rate will be increased 20% by using metaheuristic algorithms, clustering algorithms, classification algorithms and network service-oriented methods. In the third year, the main goal is to optimize the deep learning-based heterogeneous B5G mobile network. The main project researches about mode switch of demodulation method that based on deep learning and associate rule method to reduce 10% packets loss rate and to increase 20% system stability. The sub-project 1 combines deep learning algorithms with associated rule methods for increasing 20% data utilization. Other sub-projects are able to do their researches on this platform. This integrated research project also collaborate with industries. The achievements of the main project and sub-projects will be integrated and provided for the Far Eas Tone (FET) Telecommunications Co., Ltd. to verify the practicality of this integrated research project."
